Age,Salary,Department
62,50403.03872584777,Tech
18,65837.55699218872,Marketing
21,48902.24863652645,Tech
21,40014.19006724801,Marketing
57,49338.313881253685,Marketing
27,44550.99470722475,Tech
37,49814.82779970711,Marketing
39,50631.82235515888,Marketing
54,79389.43836164492,HR
41,47023.614558924055,Tech
24,54958.01608457755,Tech
42,28462.573909301118,Tech
42,50412.9247568517,Marketing
30,66809.06985214201,Tech
19,46639.41830600534,Tech
56,43697.249154969075,Tech
57,64997.445398752825,Marketing
41,56465.51223805107,HR
64,40236.306917956244,Tech
42,27518.894203898693,HR
35,31540.475461873884,Tech
55,52910.107871659675,Tech
43,35024.26468984327,Marketing
31,44485.43595653379,HR
26,76057.98974791296,Marketing
27,58904.19129055954,HR
38,41864.546280300696,Marketing
34,24204.914320516025,HR
23,41316.36820640587,Marketing
33,71404.22825954518,HR
18,54154.953576460546,HR
36,61845.00695817102,HR
53,54831.111703755865,HR
42,60505.885655055485,Tech
47,55830.749484974884,Marketing
37,49381.04208983965,HR
37,54438.264818259646,HR
32,43620.80017923234,Tech
57,75914.58680250196,Marketing
50,36974.71140754573,Tech
19,37685.336334215564,HR
27,33503.869810478485,HR
50,51300.947434015936,HR
49,56844.30515569225,HR
28,56465.499546273444,HR
41,81088.60301978898,Tech
53,41933.2232215516,HR
29,29323.548562771673,Marketing
46,42613.936247525955,Marketing
52,84916.07163757754,Marketing
18,77066.05949246358,HR
18,46258.68010488624,HR
54,37687.042561022405,Marketing
23,27599.900626744,HR
56,57862.6391888839,Marketing
58,55176.69755023969,Marketing
35,60865.62020043044,HR
33,19394.28736636659,Tech
22,33803.328517533824,Tech
59,39598.63383257372,Tech
60,14929.307735641283,HR
49,74933.9351583179,HR
19,45869.70886667556,Tech
19,38801.44326763452,HR
57,68376.55191943356,HR
59,48343.51311559582,Tech
53,30897.65922043434,Marketing
56,50476.79227594075,Marketing
29,56935.37501473428,HR
64,55303.22525391244,Marketing
36,34070.31018895922,Tech
45,46079.679907845144,Tech
18,32429.02222935003,Marketing
32,22143.688428831487,Tech
53,47827.75620309439,Marketing
30,42741.97830108228,Marketing
60,38303.04533962544,Tech
38,68208.58919538482,Marketing
29,18162.319836698447,HR
22,47933.49783589415,HR
24,43740.16063139538,Marketing
22,43901.95209466461,Tech
21,65914.26725139005,Tech
30,48447.1625572295,Marketing
54,52127.25243014932,Marketing
58,58727.296150207876,Tech
32,70318.10960203658,HR
33,56923.65585151249,Marketing
38,40224.27085975821,HR
53,50000.57175791452,Marketing
41,63346.314648075306,HR
33,32655.777976158643,Marketing
31,55958.260949532676,Tech
39,58652.71550941595,Marketing
23,50900.00138956546,Tech
59,57706.90762313037,HR
53,40142.344561738224,Tech
18,39785.31381031412,Tech
49,55321.54496634021,Marketing
23,28487.68409396644,Marketing
